epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7464,0.77502,1.46493,1.17486,0.59221,0.61182,0.49465,0.29819,1.1457,5.86016,1.40816,0.0678684,0.000324561,0.000324561
2,23.491,0.598,0.61521,1.02706,0.58929,0.76867,0.80495,0.56818,1.04117,2.42108,1.4362,0.0348632,0.000652632,0.000652632
3,33.0374,0.59888,0.59972,1.01811,0.50351,0.74736,0.57124,0.34904,1.18174,2.18469,1.54547,0.00185256,0.000975368,0.000975368
4,42.163,0.59023,0.55716,1.01123,0.72408,0.75661,0.78461,0.57877,0.87267,1.12938,1.2995,0.000976,0.000976,0.000976
5,51.5682,0.55446,0.53004,1.00025,0.61062,0.8555,0.81249,0.62495,0.79301,1.13783,1.19987,0.000968,0.000968,0.000968
6,60.878,0.54412,0.4963,0.99809,0.78583,0.80282,0.81876,0.64896,0.79797,0.84652,1.2108,0.00096,0.00096,0.00096
7,70.2787,0.54313,0.497,0.99515,0.81977,0.87368,0.85007,0.67673,0.74746,0.77839,1.21048,0.000952,0.000952,0.000952
8,79.5967,0.5291,0.49144,0.98663,0.81165,0.83369,0.84003,0.6559,0.74412,0.83097,1.15763,0.000944,0.000944,0.000944
9,88.9649,0.51385,0.46966,0.98159,0.87989,0.8314,0.85766,0.6746,0.7358,0.7189,1.16111,0.000936,0.000936,0.000936
10,98.2508,0.51414,0.49399,0.98439,0.80638,0.75302,0.74283,0.55381,0.86183,1.0828,1.18715,0.000928,0.000928,0.000928
11,107.557,0.50735,0.47743,0.97435,0.86791,0.87943,0.84881,0.66586,0.78203,0.6963,1.19049,0.00092,0.00092,0.00092
12,116.855,0.50067,0.45661,0.97826,0.87762,0.86316,0.84963,0.67899,0.7657,0.68784,1.14016,0.000912,0.000912,0.000912
13,126.231,0.49081,0.45153,0.97278,0.82849,0.85455,0.82825,0.66518,0.71814,0.67318,1.09544,0.000904,0.000904,0.000904
14,135.449,0.48355,0.45418,0.96539,0.87728,0.8677,0.85899,0.69493,0.66039,0.65926,1.06542,0.000896,0.000896,0.000896
15,144.958,0.47505,0.4574,0.96533,0.85369,0.87368,0.85671,0.68822,0.67953,0.6769,1.1499,0.000888,0.000888,0.000888
16,154.24,0.47234,0.4386,0.96876,0.87619,0.87663,0.8655,0.69601,0.62867,0.66404,1.09027,0.00088,0.00088,0.00088
